date;chi_imp_oil;chi_imp_aluminium;chi_imp_rubber;chi_imp_tungsten;chi_imp_steel;chi_imp_chromium;ger_imp_oil;ger_imp_aluminium;ger_imp_rubber;ger_imp_tungsten;ger_imp_steel;ger_imp_chromium;eng_imp_oil;eng_imp_aluminium;eng_imp_rubber;eng_imp_tungsten;eng_imp_steel;eng_imp_chromium;jap_imp_oil;jap_imp_aluminium;jap_imp_rubber;jap_imp_tungsten;jap_imp_steel;jap_imp_chromium;sov_imp_oil;sov_imp_aluminium;sov_imp_rubber;sov_imp_tungsten;sov_imp_steel;sov_imp_chromium;usa_imp_oil;usa_imp_aluminium;usa_imp_rubber;usa_imp_tungsten;usa_imp_steel;usa_imp_chromium;chi_use_oil;chi_use_aluminium;chi_use_rubber;chi_use_tungsten;chi_use_steel;chi_use_chromium;ger_use_oil;ger_use_aluminium;ger_use_rubber;ger_use_tungsten;ger_use_steel;ger_use_chromium;eng_use_oil;eng_use_aluminium;eng_use_rubber;eng_use_tungsten;eng_use_steel;eng_use_chromium;jap_use_oil;jap_use_aluminium;jap_use_rubber;jap_use_tungsten;jap_use_steel;jap_use_chromium;sov_use_oil;sov_use_aluminium;sov_use_rubber;sov_use_tungsten;sov_use_steel;sov_use_chromium;usa_use_oil;usa_use_aluminium;usa_use_rubber;usa_use_tungsten;usa_use_steel;usa_use_chromium;chi_pro_oil;chi_pro_aluminium;chi_pro_rubber;chi_pro_tungsten;chi_pro_steel;chi_pro_chromium;ger_pro_oil;ger_pro_aluminium;ger_pro_rubber;ger_pro_tungsten;ger_pro_steel;ger_pro_chromium;eng_pro_oil;eng_pro_aluminium;eng_pro_rubber;eng_pro_tungsten;eng_pro_steel;eng_pro_chromium;jap_pro_oil;jap_pro_aluminium;jap_pro_rubber;jap_pro_tungsten;jap_pro_steel;jap_pro_chromium;sov_pro_oil;sov_pro_aluminium;sov_pro_rubber;sov_pro_tungsten;sov_pro_steel;sov_pro_chromium;usa_pro_oil;usa_pro_aluminium;usa_pro_rubber;usa_pro_tungsten;usa_pro_steel;usa_pro_chromium
941.7.1.1";null;null;null;null;32.000;null;null;null;8.000;20.000;null;8.000;48.000;124.000;null;null;40.000;null;64.000;16.000;8.000;null;8.000;null;null;null;32.000;null;null;null;null;null;32.000;null;null;32.000;1.000;null;null;3.000;41.000;null;53.000;205.000;45.000;40.000;798.000;19.000;108.000;216.000;76.000;38.000;362.000;133.000;69.000;26.000;8.000;53.000;136.000;101.000;161.000;141.000;34.000;63.000;581.000;314.000;780.000;193.000;32.000;144.000;553.000;33.000;4.000;null;null;16.000;47.000;null;70.000;273.000;49.000;27.000;1064.000;15.000;119.000;184.000;152.000;75.000;644.000;266.000;6.000;13.000;null;71.000;171.000;135.000;322.000;281.000;3.000;126.000;1162.000;627.000;1559.000;386.000;null;288.000;1106.000;2.000
1941.7.1.1;null;null;null;null;32.000;null;null;null;8.000;20.000;null;8.000;48.000;124.000;null;null;40.000;null;64.000;16.000;8.000;null;8.000;null;null;null;32.000;null;null;null;null;null;32.000;null;null;32.000;1.000;null;null;3.000;41.000;null;53.000;205.000;45.000;40.000;798.000;19.000;108.000;216.000;76.000;38.000;362.000;133.000;69.000;26.000;8.000;53.000;136.000;101.000;161.000;141.000;34.000;63.000;581.000;314.000;780.000;193.000;32.000;144.000;553.000;33.000;4.000;null;null;16.000;47.000;null;70.000;273.000;49.000;27.000;1064.000;15.000;119.000;184.000;152.000;75.000;644.000;266.000;6.000;13.000;null;71.000;171.000;135.000;322.000;281.000;3.000;126.000;1162.000;627.000;1559.000;386.000;null;288.000;1106.000;2.000
942.11.1.1;null;null;null;null;80.000;null;null;null;24.312;45.000;null;8.000;null;160.000;12.000;null;96.000;null;8.000;8.000;null;null;64.000;null;null;null;24.000;null;null;null;null;null;40.000;null;null;32.000;8.000;null;16.000;29.594;112.000;8.000;null;8.000;8.000;6.930;24.000;8.000;null;null;null;16.000;80.000;null;8.000;null;8.000;16.000;24.000;null;3.000;8.000;null;13.000;117.000;null;18.000;192.000;56.312;68.000;909.000;16.000;60.000;297.000;110.000;38.000;447.000;133.000;8.000;16.000;null;19.000;127.000;110.000;254.000;234.000;26.000;98.000;984.000;458.000;853.000;210.000;40.000;157.000;616.000;72.000;8.000;121.000;24.000;31.594;250.000;20.000;105.000;14.000;8.000;6.930;39.000;8.000;null;57.000;null;16.000;101.000;167.000;10.000;227.000;8.000;16.000;65.000;4.000;13.000;41.000;null;67.000;186.000;null;24.000;256.000;43.000;30.000;1212.000;10.000;119.000;273.000;195.000;75.000;702.000;266.000;null;10.000;null;25.000;84.000;146.000;338.000;312.000;3.000;131.000;1312.000;611.000;1705.000;420.000;null;313.000;1231.000;79.000;null;161.000;10.000;3.000;184.000;16.000;209.000;12.000;null;null;29.000;null;null;67.000;null;null;25.000;197.000;3.000;453.000;null;null;82.000;8.000;
date="1949;null;null;null;null;null;null;null;null;null;null;null;null;20.000;10.000;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;-6.000;105.000;-37.000;196.000;171.000;13.000;null;null;null;null;null;null;-7.000;75.000;23.000;48.000;133.000;9.000;-57.000;29.000;11.000;6.000;41.000;7.000;17.000;142.000;31.000;54.000;292.000;125.000;-226.000;44.000;15.000;4.000;157.000;-16.000;-42.000;46.000;9.000;7.000;39.000;4.000;50.000;12.000;6.000;2.000;35.000;null;-9.000;2.000;2.000;null;-4.000;null;8.000;40.000;4.000;null;3.000;null;null;105.000;-37.000;196.000;171.000;13.000;null;null;null;null;null;null;null;65.000;23.000;48.000;133.000;9.000;null;29.000;11.000;6.000;41.000;7.000;null;142.000;31.000;54.000;292.000;125.000;null;44.000;15.000;4.000;157.000;-16.000;null;46.000;9.000;7.000;39.000;4.000;50.000;12.000;6.000;2.000;35.000;null;-9.000;2.000;2.000;null;-4.000;null;8.000;40.000;4.000;null;3.000;null;

date="194;null;null;null;null;null;null;null;null;null;null;null;null;20.000;10.000;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;-6.000;105.000;-37.000;196.000;171.000;13.000;null;null;null;null;null;null;-7.000;75.000;23.000;48.000;133.000;9.000;-57.000;29.000;11.000;6.000;41.000;7.000;17.000;142.000;31.000;54.000;292.000;125.000;-226.000;44.000;15.000;4.000;157.000;-16.000;-42.000;46.000;9.000;7.000;39.000;4.000;50.000;12.000;6.000;2.000;35.000;null;-9.000;2.000;2.000;null;-4.000;null;8.000;40.000;4.000;null;3.000;null;null;105.000;-37.000;196.000;171.000;13.000;null;null;null;null;null;null;null;65.000;23.000;48.000;133.000;9.000;null;29.000;11.000;6.000;41.000;7.000;null;142.000;31.000;54.000;292.000;125.000;null;44.000;15.000;4.000;157.000;-16.000;null;46.000;9.000;7.000;39.000;4.000;50.000;12.000;6.000;2.000;35.000;null;-9.000;2.000;2.000;null;-4.000;null;8.000;40.000;4.000;null;3.000;null;
